tenure,MonthlyCharges,Contract,OnlineSecurity,PaymentMethod,CLV
1,40.2,0,0,2,40.2
32,83.7,1,0,1,2678.4
10,19.85,0,1,3,198.5
67,59.55,2,0,2,3989.85
61,115.1,2,2,1,7021.099999999999
50,114.35,1,2,1,5717.5
2,44.6,0,0,1,89.2
29,45.0,0,2,2,1305.0
3,41.15,0,0,2,123.44999999999999
13,106.9,0,0,2,1389.7
57,89.85,0,0,2,5121.45
31,49.85,2,2,0,1545.3500000000001
45,113.3,1,2,3,5098.5
61,88.1,2,2,3,5374.099999999999
50,24.9,2,1,0,1245.0
19,105.0,0,2,3,1995.0
59,19.35,2,1,3,1141.65
71,24.25,2,1,1,1721.75
16,94.45,0,0,2,1511.2
57,59.75,2,2,2,3405.75
1,24.8,0,0,0,24.8
20,107.05,0,0,2,2141.0
1,70.6,0,0,3,70.6
5,85.4,0,0,2,427.0
52,105.05,0,0,2,5462.599999999999
21,64.95,0,2,0,1363.95
14,55.0,0,0,2,770.0
5,50.55,0,0,0,252.75
6,55.15,0,2,3,330.9
10,51.2,0,0,2,512.0
1,25.4,0,1,3,25.4
68,54.45,0,2,3,3702.6000000000004
18,95.15,0,0,3,1712.7
22,76.0,1,0,1,1672.0
20,44.35,0,0,2,887.0
1,70.0,0,0,2,70.0
8,74.5,0,0,2,596.0
10,44.85,0,0,1,448.5
24,76.1,0,0,2,1826.3999999999999
35,61.2,1,2,3,2142.0
23,86.8,1,0,3,1996.3999999999999
6,89.35,0,0,2,536.0999999999999
12,19.7,0,1,3,236.39999999999998
1,20.25,0,1,3,20.25
71,76.05,2,0,2,5399.55
35,100.8,0,0,2,3528.0
40,74.55,0,0,2,2982.0
1,73.6,0,2,3,73.6
23,64.9,1,0,0,1492.7
4,95.45,0,0,2,381.8
4,90.4,0,0,2,361.6
68,60.3,2,0,1,4100.4
38,81.85,0,0,3,3110.2999999999997
52,24.8,2,1,3,1289.6000000000001
32,74.9,0,0,2,2396.8
29,75.55,2,0,3,2190.95
38,101.15,0,0,2,3843.7000000000003
48,78.75,1,2,1,3780.0
1,19.25,0,1,0,19.25
22,89.05,0,2,2,1959.1
43,115.05,2,2,1,4947.15
5,69.35,0,0,2,346.75
5,80.6,0,0,2,403.0
51,110.05,1,2,1,5612.55
71,19.9,2,1,1,1412.8999999999999
38,80.3,1,2,1,3051.4
24,93.15,0,0,2,2235.6000000000004
35,91.5,0,0,1,3202.5
54,82.45,1,2,0,4452.3
72,60.0,2,0,2,4320.0
1,44.8,0,0,2,44.8
9,48.6,1,2,3,437.40000000000003
69,60.05,2,2,0,4143.45
52,102.7,0,0,1,5340.400000000001
11,82.9,0,0,2,911.9000000000001
2,70.35,0,0,2,140.7
28,35.9,0,0,2,1005.1999999999999
17,82.65,0,0,1,1405.0500000000002
35,19.85,2,1,3,694.75
8,19.2,1,1,3,153.6
46,94.9,1,0,1,4365.400000000001
7,73.85,0,0,2,516.9499999999999
2,80.6,0,0,3,161.2
68,75.8,1,0,0,5154.4
43,104.6,2,0,2,4497.8
68,88.15,2,2,2,5994.200000000001
36,94.8,0,0,1,3412.7999999999997
63,103.4,0,0,2,6514.200000000001
32,54.65,0,0,0,1748.8
71,85.75,2,2,1,6088.25
66,67.45,0,2,0,4451.7
63,20.5,1,1,3,1291.5
41,20.25,1,1,1,830.25
1,72.1,0,0,2,72.1
2,90.4,0,0,2,180.8
70,19.45,2,1,0,1361.5
23,44.95,0,0,2,1033.8500000000001
64,97.0,1,2,0,6208.0
37,62.8,2,2,1,2323.6
17,44.6,1,0,3,758.2
7,89.15,0,0,2,624.0500000000001
4,84.8,0,0,0,339.2
21,41.9,0,2,2,879.9
10,80.25,0,0,0,802.5
16,54.1,0,2,2,865.6
64,105.25,2,0,2,6736.0
27,30.75,0,2,1,830.25
42,97.1,1,2,2,4078.2
5,20.2,0,1,3,101.0
41,98.8,2,0,0,4050.7999999999997
58,50.3,1,0,1,2917.3999999999996
47,20.55,2,1,3,965.85
18,75.9,0,0,0,1366.2
5,96.5,0,0,0,482.5
23,59.95,0,2,0,1378.8500000000001
1,19.15,0,1,3,19.15
71,98.65,1,0,1,7004.150000000001
72,112.6,2,2,1,8107.2
33,20.6,1,1,3,679.8000000000001
2,85.65,0,0,2,171.3
24,35.75,2,2,3,858.0
56,99.75,1,0,1,5586.0
37,96.1,0,0,1,3555.7
43,85.1,1,0,1,3659.2999999999997
1,25.35,0,0,3,25.35
25,104.95,0,0,0,2623.75
61,89.65,2,2,2,5468.650000000001
17,86.75,1,0,2,1474.75
41,86.2,1,0,0,3534.2000000000003
1,50.65,0,0,3,50.65
72,64.8,2,2,0,4665.599999999999
1,90.85,0,0,1,90.85
48,108.1,2,0,0,5188.799999999999
11,19.95,0,1,3,219.45
55,85.45,0,0,2,4699.75
42,54.75,1,2,2,2299.5
44,90.4,0,0,3,3977.6000000000004
1,44.0,0,0,2,44.0
27,95.6,0,0,0,2581.2
27,84.8,0,0,0,2289.6
2,44.3,0,0,2,88.6
19,19.9,0,1,3,378.09999999999997
42,95.05,0,0,2,3992.1
66,90.05,2,2,1,5943.3
33,109.9,0,2,0,3626.7000000000003
34,73.95,0,0,1,2514.3
33,54.6,0,0,2,1801.8
23,20.05,1,1,3,461.15000000000003
32,19.75,1,1,0,632.0
11,20.05,1,1,1,220.55
69,99.45,0,0,1,6862.05
68,55.9,1,2,0,3801.2
20,19.7,2,1,3,394.0
72,19.8,2,1,1,1425.6000000000001
60,95.4,1,2,0,5724.0
32,93.95,0,0,3,3006.4
1,19.9,0,1,3,19.9
1,19.6,0,1,3,19.6
3,81.35,0,0,2,244.04999999999998
46,24.45,1,1,0,1124.7
29,74.95,0,0,2,2173.55
51,87.35,0,0,2,4454.849999999999
48,70.65,0,0,0,3391.2000000000003
16,73.25,0,0,0,1172.0
70,98.7,2,0,0,6909.0
40,24.8,2,1,3,992.0
22,83.3,0,0,2,1832.6
1,75.3,0,0,0,75.3
5,24.3,0,1,3,121.5
7,69.85,0,0,0,488.94999999999993
29,100.55,1,0,1,2915.95
44,25.7,1,1,3,1130.8
10,40.7,0,2,0,407.0
55,51.65,0,0,0,2840.75
52,105.1,1,0,0,5465.2
10,85.95,0,0,2,859.5
18,75.6,0,0,0,1360.8
68,58.25,1,2,0,3961.0
61,19.4,0,1,3,1183.3999999999999
72,65.2,2,2,1,4694.400000000001
2,53.45,0,2,2,106.9
12,45.4,0,0,0,544.8
41,19.75,2,1,2,809.75
26,44.45,0,0,1,1155.7
36,20.85,1,1,0,750.6
72,114.05,2,2,1,8211.6
35,89.85,0,0,0,3144.75
1,55.05,0,0,3,55.05
16,112.95,0,2,2,1807.2
49,101.55,0,2,1,4975.95
54,114.65,1,2,3,6191.1
18,64.8,0,2,2,1166.3999999999999
36,80.4,0,0,2,2894.4
60,105.9,0,0,2,6354.0
1,69.55,0,0,3,69.55
52,25.05,2,1,0,1302.6000000000001
8,94.75,0,0,2,758.0
72,105.5,2,2,0,7596.0
64,24.7,1,1,3,1580.8
22,69.75,0,2,3,1534.5
60,60.2,0,0,0,3612.0
28,81.05,0,0,2,2269.4
61,24.4,2,1,3,1488.3999999999999
24,104.15,0,0,2,2499.6000000000004
28,92.9,1,0,0,2601.2000000000003
30,80.8,2,0,0,2424.0
2,20.0,0,1,3,40.0
1,75.1,0,0,2,75.1
6,19.65,0,1,3,117.89999999999999
24,69.45,0,0,0,1666.8000000000002
4,101.15,0,0,2,404.6
7,99.8,0,0,2,698.6
72,116.05,2,2,0,8355.6
70,40.05,2,0,3,2803.5
64,102.1,2,0,2,6534.4
72,89.7,1,0,2,6458.400000000001
44,19.9,2,1,3,875.5999999999999
13,55.95,0,0,2,727.35
17,20.65,1,1,3,351.04999999999995
1,55.0,0,0,2,55.0
9,70.05,0,0,3,630.4499999999999
24,53.6,0,2,3,1286.4
1,74.7,0,0,2,74.7
24,80.25,0,0,2,1926.0
35,76.05,0,0,2,2661.75
7,75.7,0,2,2,529.9
5,96.1,0,0,2,480.5
15,69.0,0,0,0,1035.0
11,19.65,2,1,3,216.14999999999998
48,45.3,0,2,0,2174.3999999999996
20,81.45,0,0,2,1629.0
72,108.5,1,0,0,7812.0
8,83.55,0,0,2,668.4
72,84.5,2,0,1,6084.0
15,100.15,0,0,2,1502.25
72,88.6,2,0,0,6379.2
1,74.35,0,0,2,74.35
63,104.8,2,0,0,6602.4
2,59.0,0,0,2,118.0
2,74.4,0,2,2,148.8
61,64.05,1,0,0,3907.0499999999997
1,20.4,0,1,3,20.4
22,43.75,1,0,0,962.5
28,60.9,0,2,3,1705.2
70,19.8,2,1,0,1386.0
5,28.45,0,0,2,142.25
12,99.7,0,2,0,1196.4
34,116.25,1,2,1,3952.5
71,80.7,2,2,1,5729.7
70,65.2,1,2,0,4564.0
52,84.05,0,2,0,4370.599999999999
69,79.45,2,2,1,5482.05
20,94.1,0,0,2,1882.0
11,78.0,0,0,3,858.0
2,94.2,0,0,2,188.4
6,80.5,0,0,2,483.0
1,19.85,0,1,3,19.85
20,94.3,1,2,1,1886.0
61,106.45,0,2,2,6493.45
5,74.35,0,0,2,371.75
56,105.45,0,0,0,5905.2
30,95.0,0,2,1,2850.0
40,104.8,0,0,0,4192.0
28,54.3,1,2,3,1520.3999999999999
5,70.05,0,0,2,350.25
27,75.2,0,2,0,2030.4
12,20.05,0,1,1,240.60000000000002
67,105.4,1,0,2,7061.8
29,51.6,0,0,2,1496.4
55,85.5,0,0,0,4702.5
23,75.6,0,0,0,1738.8
34,100.05,0,0,2,3401.7
52,91.25,1,2,2,4745.0
72,115.75,2,2,1,8334.0
58,94.7,1,0,1,5492.6
35,19.6,2,1,3,686.0
56,99.9,2,0,0,5594.400000000001
24,21.1,2,1,1,506.40000000000003
70,20.05,2,1,1,1403.5
2,79.95,0,0,2,159.9
68,107.15,1,0,1,7286.200000000001
1,85.0,0,0,2,85.0
12,89.55,0,0,2,1074.6
63,81.55,0,0,0,5137.65
33,58.45,1,2,3,1928.8500000000001
69,95.65,1,0,1,6599.85
60,80.6,2,0,0,4836.0
72,113.1,2,2,0,8143.2
11,58.95,0,0,3,648.45
1,19.55,0,1,3,19.55
10,86.05,0,0,0,860.5
13,45.55,0,2,1,592.15
34,78.95,1,0,0,2684.3
39,86.3,0,0,3,3365.7
65,105.05,1,0,0,6828.25
50,101.9,1,2,0,5095.0
15,19.75,0,1,3,296.25
72,110.3,2,2,0,7941.599999999999
72,115.6,2,2,0,8323.199999999999
55,19.35,2,1,0,1064.25
23,25.6,2,1,1,588.8000000000001
32,80.35,0,0,0,2571.2
56,68.75,1,2,0,3850.0
1,19.9,0,1,0,19.9
38,70.6,1,2,3,2682.7999999999997
11,70.2,0,0,2,772.2
1,49.3,0,0,2,49.3
56,107.25,1,0,2,6006.0
3,23.6,0,1,3,70.80000000000001
7,69.7,0,2,1,487.90000000000003
59,99.5,2,0,1,5870.5
7,64.3,0,0,0,450.09999999999997
71,70.85,2,2,1,5030.349999999999
15,101.9,1,2,2,1528.5
71,73.5,2,2,1,5218.5
35,100.25,0,0,2,3508.75
11,40.4,1,0,1,444.4
60,19.25,2,1,1,1155.0
47,59.6,2,0,0,2801.2000000000003
11,64.9,1,0,1,713.9000000000001
56,100.3,1,0,1,5616.8
28,110.85,0,0,2,3103.7999999999997
61,81.05,2,2,3,4944.05
31,98.05,1,2,0,3039.5499999999997
9,70.5,0,0,2,634.5
35,94.55,0,2,2,3309.25
2,19.65,0,1,3,39.3
12,19.0,0,1,3,228.0
1,75.3,0,2,3,75.3
4,89.2,0,0,2,356.8
1,19.0,0,1,3,19.0
3,20.0,0,1,3,60.0
1,85.7,0,0,2,85.7
52,63.25,2,2,1,3289.0
5,20.1,1,1,3,100.5
72,99.15,2,2,2,7138.8
71,90.4,2,2,2,6418.400000000001
72,111.9,2,2,1,8056.8
46,24.9,1,1,2,1145.3999999999999
63,83.5,2,2,1,5260.5
30,84.3,0,2,1,2529.0
1,45.6,0,0,3,45.6
12,61.65,0,2,3,739.8
16,54.85,2,2,3,877.6
4,65.55,0,0,3,262.2
51,90.35,1,0,1,4607.849999999999
65,20.4,2,1,1,1326.0
16,74.55,0,0,1,1192.8
2,19.95,1,1,3,39.9
66,74.25,1,0,0,4900.5
46,108.65,2,0,2,4997.900000000001
32,109.55,1,2,0,3505.6
72,86.65,2,2,1,6238.8
38,81.0,2,2,1,3078.0
51,47.85,1,0,1,2440.35
72,114.55,2,2,0,8247.6
65,105.25,0,2,0,6841.25
9,29.95,0,0,2,269.55
9,65.0,0,2,3,585.0
66,20.55,2,1,3,1356.3
44,109.8,1,2,1,4831.2
50,69.5,2,0,0,3475.0
15,48.85,0,0,3,732.75
8,25.25,0,0,1,202.0
66,102.85,1,0,1,6788.099999999999
57,87.55,0,2,0,4990.349999999999
7,78.55,0,0,0,549.85
10,34.55,0,0,0,345.5
62,92.05,1,2,2,5707.099999999999
40,85.05,1,0,2,3402.0
20,19.7,2,1,3,394.0
7,20.0,0,1,0,140.0
25,95.15,0,0,2,2378.75
23,84.25,0,0,2,1937.75
66,104.6,1,0,1,6903.599999999999
72,111.65,2,0,2,8038.8
49,90.05,0,0,1,4412.45
43,110.75,0,0,0,4762.25
46,55.0,0,2,0,2530.0
72,89.85,2,2,1,6469.2
10,20.35,1,1,3,203.5
40,54.55,1,2,0,2182.0
65,105.5,0,0,2,6857.5
31,99.45,2,0,0,3082.9500000000003
68,70.9,2,2,1,4821.200000000001
56,104.55,1,2,0,5854.8
10,85.25,0,0,2,852.5
68,25.4,2,1,0,1727.1999999999998
43,56.15,0,0,2,2414.45
1,89.55,0,0,2,89.55
49,89.85,1,0,0,4402.65
15,25.25,0,1,2,378.75
20,94.55,0,0,2,1891.0
1,45.7,0,0,3,45.7
50,69.65,1,0,2,3482.5000000000005
2,89.5,0,0,2,179.0
24,70.0,0,0,1,1680.0
3,69.55,0,0,0,208.64999999999998
1,74.6,0,0,3,74.6
35,20.1,2,1,3,703.5
17,24.8,0,1,3,421.6
8,19.65,0,1,2,157.2
10,95.1,0,0,1,951.0
68,88.85,2,2,1,6041.799999999999
45,78.8,1,2,0,3546.0
2,19.85,1,1,3,39.7
37,20.35,0,1,0,752.95
4,24.25,0,0,3,97.0
10,45.25,0,0,3,452.5
1,20.05,0,1,3,20.05
65,69.55,2,2,3,4520.75
57,19.5,2,1,0,1111.5
3,74.75,0,0,3,224.25
2,69.65,0,0,2,139.3
49,30.2,0,0,0,1479.8
4,45.65,0,0,3,182.6
70,57.8,2,0,0,4046.0
53,19.85,1,1,0,1052.0500000000002
53,25.55,2,1,1,1354.15
1,75.05,0,0,3,75.05
22,24.85,0,1,1,546.7
52,49.15,0,0,2,2555.7999999999997
65,110.35,2,2,2,7172.75
48,24.55,1,1,0,1178.4
2,34.7,0,0,2,69.4
3,107.95,0,0,3,323.85
45,81.4,0,0,0,3663.0000000000005
1,80.0,0,0,2,80.0
61,73.8,2,0,0,4501.8
3,64.4,0,2,1,193.20000000000002
40,103.75,1,0,1,4150.0
1,71.1,0,0,3,71.1
1,49.9,0,0,2,49.9
51,24.6,1,1,0,1254.6000000000001
2,49.25,0,2,2,98.5
52,30.1,1,0,3,1565.2
51,83.4,0,0,0,4253.400000000001
1,20.45,0,1,3,20.45
31,75.25,1,2,0,2332.75
47,20.55,1,1,1,965.85
3,75.1,0,0,1,225.29999999999998
22,20.05,1,1,3,441.1
1,20.65,0,1,3,20.65
72,85.15,2,0,0,6130.8
3,50.15,0,0,2,150.45
47,84.95,1,0,0,3992.65
72,66.5,2,2,1,4788.0
66,63.3,2,0,0,4177.8
35,83.15,0,0,2,2910.25
29,84.9,0,0,2,2462.1000000000004
2,20.55,0,1,3,41.1
4,49.25,0,0,3,197.0
25,79.85,0,2,0,1996.2499999999998
65,59.6,2,2,3,3874.0
27,104.65,1,0,0,2825.55
29,75.3,0,0,1,2183.7
29,80.1,0,0,1,2322.8999999999996
1,19.55,0,1,3,19.55
20,81.0,0,0,3,1620.0
58,24.7,2,1,1,1432.6
14,86.0,0,2,3,1204.0
72,25.4,2,1,3,1828.8
46,89.15,0,2,1,4100.900000000001
71,58.25,2,0,0,4135.75
32,85.65,0,0,0,2740.8
26,50.35,0,0,1,1309.1000000000001
68,80.35,0,0,1,5463.799999999999
2,20.2,1,1,3,40.4
61,20.55,2,1,1,1253.55
4,85.95,0,0,2,343.8
3,45.35,0,0,2,136.05
33,94.5,0,0,2,3118.5
9,21.25,0,1,3,191.25
22,26.25,2,1,3,577.5
5,80.85,0,0,2,404.25
30,91.7,0,2,1,2751.0
65,74.2,2,0,1,4823.0
45,87.25,0,0,2,3926.25
5,20.35,0,1,3,101.75
25,75.5,0,0,2,1887.5
72,79.05,2,2,0,5691.599999999999
27,90.15,0,0,0,2434.05
32,50.6,0,0,1,1619.2
30,110.45,1,0,1,3313.5
70,101.0,2,2,1,7070.0
42,79.35,0,0,0,3332.7
72,89.85,2,2,0,6469.2
47,65.0,2,2,3,3055.0
2,80.45,0,2,2,160.9
10,98.55,0,2,2,985.5
61,24.1,2,1,3,1470.1000000000001
5,44.05,0,0,1,220.25
72,110.8,2,0,1,7977.599999999999
72,114.95,2,2,0,8276.4
3,75.05,0,0,3,225.14999999999998
48,19.25,2,1,3,924.0
63,90.05,1,0,1,5673.15
27,56.7,0,2,3,1530.9
70,80.15,2,2,1,5610.5
7,71.35,0,2,1,499.44999999999993
2,90.35,0,2,2,180.7
20,98.55,0,0,2,1971.0
66,19.7,2,1,0,1300.2
3,19.85,0,1,3,59.550000000000004
15,85.9,0,0,0,1288.5
72,90.35,2,2,0,6505.2
1,20.8,0,1,3,20.8
22,89.25,0,0,2,1963.5
3,70.3,0,0,2,210.89999999999998
72,66.85,2,2,0,4813.2
65,19.9,2,1,3,1293.5
11,35.8,0,0,3,393.79999999999995
22,78.85,0,0,3,1734.6999999999998
14,20.4,1,1,0,285.59999999999997
41,74.25,0,0,2,3044.25
17,64.8,1,2,3,1101.6
11,20.45,0,1,1,224.95
15,93.35,0,0,2,1400.25
1,19.9,0,1,3,19.9
5,88.9,0,2,3,444.5
33,95.8,1,0,2,3161.4
72,110.65,2,2,1,7966.8
3,40.3,0,0,3,120.89999999999999
2,82.0,0,0,2,164.0
59,107.0,1,2,1,6313.0
2,45.35,0,0,2,90.7
71,73.35,2,0,1,5207.849999999999
5,44.8,0,0,3,224.0
27,54.75,0,2,1,1478.25
1,52.2,0,0,2,52.2
63,40.6,1,2,0,2557.8
46,110.0,1,2,2,5060.0
72,55.3,2,2,0,3981.6
34,60.85,0,2,0,2068.9
24,78.4,1,2,2,1881.6000000000001
72,69.65,2,2,0,5014.8
60,59.85,2,2,1,3591.0
68,76.9,1,2,1,5229.200000000001
8,19.85,2,1,3,158.8
34,67.65,2,2,1,2300.1000000000004
6,45.0,0,0,1,270.0
2,64.2,0,0,3,128.4
31,81.7,1,0,1,2532.7000000000003
20,25.55,0,1,0,511.0
1,20.0,0,1,2,20.0
